"geneid","baseMean_VEvsC","log2FoldChange_VEvsC","lfcSE_VEvsC","stat_VEvsC","pvalue_VEvsC","padj_VEvsC","Mnigripes_transcript_id","Gene_Symbol","Mpfuro_ensembl_gene_id","description_mpfuro","description_hsapiens","FoldChange_VEvsC","baseMean_CvsW","log2FoldChange_CvsW","lfcSE_CvsW","stat_CvsW","pvalue_CvsW","padj_CvsW","FoldChange_CvsW","expression_VEvsC","expression_CvsW"
"MUSNIGG00019995",13.61583308,-3.491569023,1.014671236,-3.441084067,0.000579388,0.055257757,"MUSNIGT00024370","ERAP2","ENSMPUG00000004410","endoplasmic reticulum aminopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:29499]","endoplasmic reticulum aminopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:29499]",-11.24778504,13.61583308,3.323655463,1.535595473,2.164408219,0.030433034,0.999566779,10.01198037,"DOWN","UP"
"MUSNIGG00017748",37.26271632,-3.421052193,0.852251981,-4.014132286,5.97e-05,0.022317612,"MUSNIGT00021698","BORA","ENSMPUG00000010264","BORA aurora kinase A activator [Source:HGNC Symbol;Acc:HGNC:24724]","BORA aurora kinase A activator [Source:HGNC Symbol;Acc:HGNC:24724]",-10.71122955,37.26271632,3.578435989,1.302439655,2.747486975,0.006005389,0.847639153,11.9458366,"DOWN","UP"
"MUSNIGG00037190",49.82546016,-3.408524221,0.924668101,-3.6862137,0.000227615,0.037075632,"MUSNIGT00044790","TRPM3","ENSMPUG00000009171","transient receptor potential cation channel subfamily M member 3 [Source:HGNC Symbol;Acc:HGNC:17992]","transient receptor potential cation channel subfamily M member 3 [Source:HGNC Symbol;Acc:HGNC:17992]",-10.61861883,49.82546016,5.459220208,1.44198083,3.785917326,0.000153143,0.097386853,43.99355276,"DOWN","UP"
"MUSNIGG00037299",25.00017689,-3.407187181,0.979662357,-3.477919874,0.000505321,0.054524075,"MUSNIGT00044924","KIAA1432",NA,NA,NA,-10.60878242,25.00017689,3.875469845,1.49326041,2.595307435,0.009450634,0.859062739,14.67684374,"DOWN","UP"
"MUSNIGG00002137",3.118737865,-3.220151223,1.386876464,-2.321873149,0.020239767,0.255704485,"MUSNIGT00002573","NPFFR1","ENSMPUG00000004321","neuropeptide FF receptor 1 [Source:HGNC Symbol;Acc:HGNC:17425]","neuropeptide FF receptor 1 [Source:HGNC Symbol;Acc:HGNC:17425]",-9.318845438,3.118737865,4.379974026,2.160093721,2.027677774,0.042593146,0.999566779,20.82109482,"DOWN","UP"
"MUSNIGG00042379",190.8832523,-3.213515959,0.868724411,-3.699120133,0.000216348,0.037075632,"MUSNIGT00051098","HIVEP1","ENSMPUG00000000674","HIVEP zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:4920]","HIVEP zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:4920]",-9.276084478,190.8832523,3.314839287,1.285453745,2.578730895,0.0099164,0.859062739,9.950984648,"DOWN","UP"
"MUSNIGG00018786",33.32171539,-3.212938201,1.021219964,-3.146176449,0.001654202,0.090869657,"MUSNIGT00022906","PELO",NA,NA,"pelota mRNA surveillance and ribosome rescue factor [Source:HGNC Symbol;Acc:HGNC:8829]",-9.272370417,33.32171539,3.448325724,1.543580594,2.233978412,0.025484494,0.999566779,10.91564688,"DOWN","UP"
"MUSNIGG00018358",42.47868382,-3.210552727,0.955188954,-3.361170282,0.00077613,0.065515497,"MUSNIGT00022411","KIAA0947",NA,NA,NA,-9.257051362,42.47868382,2.922903002,1.443850777,2.024380253,0.042931042,0.999566779,7.58370582,"DOWN","UP"
"MUSNIGG00000588",30.62233462,-3.143014565,0.800418601,-3.926713548,8.61e-05,0.023270035,"MUSNIGT00000710","SPAM1","ENSMPUG00000006764","sperm adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:11217]","sperm adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:11217]",-8.833679958,30.62233462,2.435685248,1.217797493,2.000074119,0.045492261,0.999566779,5.410212453,"DOWN","UP"
"MUSNIGG00027775",33.18165175,-3.120152819,0.807346147,-3.864702682,0.000111225,0.024590748,"MUSNIGT00033439","KCNJ3","ENSMPUG00000000433","potassium inwardly rectifying channel subfamily J member 3 [Source:HGNC Symbol;Acc:HGNC:6264]","potassium inwardly rectifying channel subfamily J member 3 [Source:HGNC Symbol;Acc:HGNC:6264]",-8.69479986,33.18165175,3.018044355,1.234001869,2.445737265,0.01445563,0.999566779,8.100687509,"DOWN","UP"
"MUSNIGG00038603",45.78175798,-3.11477996,0.860596381,-3.619327281,0.00029537,0.043195499,"MUSNIGT00046512","REL","ENSMPUG00000005180","REL proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9954]","REL proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9954]",-8.662479062,45.78175798,2.833997847,1.304486842,2.17250014,0.029817959,0.999566779,7.130473324,"DOWN","UP"
"MUSNIGG00009379",21.23120215,-3.100959101,0.839327124,-3.694577491,0.000220253,0.037075632,"MUSNIGT00011472","UTP18","ENSMPUG00000015582","UTP18 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:24274]","UTP18 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:24274]",-8.5798897,21.23120215,2.894056231,1.279965638,2.261042129,0.023756648,0.999566779,7.433575124,"DOWN","UP"
"MUSNIGG00013155",35.2072325,-3.069845448,0.952782828,-3.221978144,0.001273088,0.083322588,"MUSNIGT00016151","SLC7A14","ENSMPUG00000017112","solute carrier family 7 member 14 [Source:NCBI gene;Acc:101694222]","solute carrier family 7 member 14 [Source:HGNC Symbol;Acc:HGNC:29326]",-8.396833889,35.2072325,3.754352294,1.451420424,2.586674565,0.009690707,0.859062739,13.49499273,"DOWN","UP"
"MUSNIGG00024257",6.381043006,-3.052480892,1.286241758,-2.373178194,0.017635753,0.240955912,"MUSNIGT00029487","FAM161B","ENSMPUG00000009566","FAM161 centrosomal protein B [Source:HGNC Symbol;Acc:HGNC:19854]","FAM161 centrosomal protein B [Source:HGNC Symbol;Acc:HGNC:19854]",-8.296373768,6.381043006,3.901950879,1.969024828,1.981666672,0.04751656,0.999566779,14.94872856,"DOWN","UP"
"MUSNIGG00033454",22.87024436,-3.047380212,0.879452445,-3.465088112,0.000530058,0.054542394,"MUSNIGT00040198","CCRN4L",NA,NA,NA,-8.267093549,22.87024436,2.855399286,1.336923809,2.135798067,0.032695877,0.999566779,7.237037696,"DOWN","UP"
"MUSNIGG00016213",4.733179275,-3.013194611,0.979434948,-3.076462217,0.002094728,0.09796884,"MUSNIGT00019804","SPRYD4","ENSMPUG00000001489","SPRY domain containing 4 [Source:HGNC Symbol;Acc:HGNC:27468]","SPRY domain containing 4 [Source:HGNC Symbol;Acc:HGNC:27468]",-8.073502062,4.733179275,4.13164384,1.586961094,2.603494096,0.009227886,0.859062739,17.5286604,"DOWN","UP"
"MUSNIGG00006903",66.72213732,-3.00286453,0.881729343,-3.405653394,0.000660059,0.060576,"MUSNIGT00008416","ZNF430",NA,NA,"zinc finger protein 430 [Source:HGNC Symbol;Acc:HGNC:20808]",-8.015900109,66.72213732,3.535505679,1.342860079,2.632817622,0.00846798,0.859062739,11.5956009,"DOWN","UP"
"MUSNIGG00040976",4.391019289,-2.999892616,1.19921346,-2.501550154,0.012365093,0.212518227,"MUSNIGT00049404","PTPRF","ENSMPUG00000013665","protein tyrosine phosphatase receptor type F [Source:HGNC Symbol;Acc:HGNC:9670]","protein tyrosine phosphatase receptor type F [Source:HGNC Symbol;Acc:HGNC:9670]",-7.99940456,4.391019289,4.666725452,1.933972726,2.413025473,0.015820714,0.999566779,25.39945176,"DOWN","UP"
"MUSNIGG00000548",3.520024566,-2.955627459,1.129651558,-2.616406304,0.008886075,0.182095976,"MUSNIGT00000666","FSCN3","ENSMPUG00000006639","fascin actin-bundling protein 3 [Source:HGNC Symbol;Acc:HGNC:3961]","fascin actin-bundling protein 3 [Source:HGNC Symbol;Acc:HGNC:3961]",-7.757691786,3.520024566,3.567293879,1.762239997,2.02429515,0.042939792,0.999566779,11.8539328,"DOWN","UP"
"MUSNIGG00041136",7.23110371,-2.937817788,1.134692596,-2.589086946,0.009623079,0.186480709,"MUSNIGT00049598","SELRC1",NA,NA,NA,-7.662513913,7.23110371,3.53311777,1.73362173,2.037998087,0.041550124,0.999566779,11.57642405,"DOWN","UP"
"MUSNIGG00002219",27.23399617,-2.936142955,0.844386219,-3.477251156,0.000506583,0.054524075,"MUSNIGT00002682","SAMD8","ENSMPUG00000003283","sterile alpha motif domain containing 8 [Source:HGNC Symbol;Acc:HGNC:26320]","sterile alpha motif domain containing 8 [Source:HGNC Symbol;Acc:HGNC:26320]",-7.653623614,27.23399617,2.635827847,1.284690841,2.051721521,0.040196734,0.999566779,6.215316447,"DOWN","UP"
"MUSNIGG00013733",40.603789,-2.889184927,0.898207246,-3.216612804,0.001297135,0.083322588,"MUSNIGT00016854","COL8A1","ENSMPUG00000011313","collagen type VIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2215]","collagen type VIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2215]",-7.408517754,40.603789,3.019867361,1.365048203,2.212278917,0.026947399,0.999566779,8.1109301,"DOWN","UP"
"MUSNIGG00002313",12.96248721,-2.87941248,1.17355754,-2.453575886,0.014144369,0.222963108,"MUSNIGT00002800","LRIT1","ENSMPUG00000008558","leucine rich repeat, Ig-like and transmembrane domains 1 [Source:HGNC Symbol;Acc:HGNC:23404]","leucine rich repeat, Ig-like and transmembrane domains 1 [Source:HGNC Symbol;Acc:HGNC:23404]",-7.358503934,12.96248721,3.902096477,1.786668248,2.184007289,0.028961712,0.999566779,14.95023728,"DOWN","UP"
"MUSNIGG00032076",86.72201043,-2.8744182,0.919106845,-3.127403756,0.001763576,0.092236895,"MUSNIGT00038584","ARHGAP20","ENSMPUG00000003350","Rho GTPase activating protein 20 [Source:HGNC Symbol;Acc:HGNC:18357]","Rho GTPase activating protein 20 [Source:HGNC Symbol;Acc:HGNC:18357]",-7.333074517,86.72201043,3.081680894,1.375272045,2.240779128,0.025040386,0.999566779,8.466002377,"DOWN","UP"
"MUSNIGG00028122",117.0393836,-2.87144093,0.759001959,-3.783179867,0.000154837,0.028966511,"MUSNIGT00033879","ZNF804A","ENSMPUG00000018429","zinc finger protein 804A [Source:HGNC Symbol;Acc:HGNC:21711]","zinc finger protein 804A [Source:HGNC Symbol;Acc:HGNC:21711]",-7.317956959,117.0393836,2.876914365,1.133728375,2.53756934,0.011162525,0.859062739,7.345773257,"DOWN","UP"
"MUSNIGG00037524",8.285835433,-2.860399856,1.246597771,-2.294565194,0.021758055,0.264577947,"MUSNIGT00045200","MYT1L","ENSMPUG00000012946","myelin transcription factor 1 like [Source:HGNC Symbol;Acc:HGNC:7623]","myelin transcription factor 1 like [Source:HGNC Symbol;Acc:HGNC:7623]",-7.262165737,8.285835433,4.609411991,1.954674142,2.358148549,0.018366342,0.999566779,24.41019629,"DOWN","UP"
"MUSNIGG00030548",112.3738083,-2.841248403,0.885028152,-3.210348049,0.001325743,0.083322588,"MUSNIGT00036741","OLFR1056",NA,NA,NA,-7.166399164,112.3738083,2.57074356,1.30806673,1.965300012,0.049379524,0.999566779,5.941155545,"DOWN","UP"
"MUSNIGG00034485",4.968249069,-2.81819992,0.975421742,-2.889211711,0.00386209,0.126927052,"MUSNIGT00041444","FAM175A",NA,NA,NA,-7.052818535,4.968249069,3.650313363,1.548266928,2.357677024,0.018389685,0.999566779,12.55607254,"DOWN","UP"
"MUSNIGG00044420",34.93452905,-2.8136347,0.938091376,-2.999318372,0.002705844,0.113458837,"MUSNIGT00053571","FNDC1","ENSMPUG00000005104","fibronectin type III domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21184]","fibronectin type III domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21184]",-7.030536081,34.93452905,3.91457675,1.435808307,2.726392325,0.006403084,0.847639153,15.0801278,"DOWN","UP"
"MUSNIGG00036557",22.68028438,-2.807932985,1.179467173,-2.380679217,0.017280753,0.237439497,"MUSNIGT00044023","ZBTB5","ENSMPUG00000018533","zinc finger and BTB domain containing 5 [Source:HGNC Symbol;Acc:HGNC:23836]","zinc finger and BTB domain containing 5 [Source:HGNC Symbol;Acc:HGNC:23836]",-7.002805339,22.68028438,4.374391491,1.794110735,2.438194815,0.014760817,0.999566779,20.74068289,"DOWN","UP"
"MUSNIGG00017613",83.29527914,-2.798214594,0.812654879,-3.443300059,0.000574661,0.055257757,"MUSNIGT00021548","PCDH17","ENSMPUG00000000877","protocadherin 17 [Source:HGNC Symbol;Acc:HGNC:14267]","protocadherin 17 [Source:HGNC Symbol;Acc:HGNC:14267]",-6.955791045,83.29527914,3.155421534,1.227169379,2.571300742,0.01013173,0.859062739,8.909975928,"DOWN","UP"
"MUSNIGG00021973",32.50408168,-2.795564271,0.957181495,-2.920620892,0.003493346,0.125429538,"MUSNIGT00026717","CHGB","ENSMPUG00000006312","chromogranin B [Source:HGNC Symbol;Acc:HGNC:1930]","chromogranin B [Source:HGNC Symbol;Acc:HGNC:1930]",-6.943024543,32.50408168,2.993548165,1.45040378,2.063941232,0.039023289,0.999566779,7.964303309,"DOWN","UP"
"MUSNIGG00039266",32.50408168,-2.795564271,0.957181495,-2.920620892,0.003493346,0.125429538,"MUSNIGT00047297","CHGB","ENSMPUG00000006312","chromogranin B [Source:HGNC Symbol;Acc:HGNC:1930]","chromogranin B [Source:HGNC Symbol;Acc:HGNC:1930]",-6.943024543,32.50408168,2.993548165,1.45040378,2.063941232,0.039023289,0.999566779,7.964303309,"DOWN","UP"
"MUSNIGG00010442",20.28639901,-2.785171373,0.944933032,-2.94748017,0.003203753,0.125429538,"MUSNIGT00012773","STOX2","ENSMPUG00000011066","storkhead box 2 [Source:HGNC Symbol;Acc:HGNC:25450]","storkhead box 2 [Source:HGNC Symbol;Acc:HGNC:25450]",-6.893188048,20.28639901,3.141914162,1.439155667,2.183164917,0.029023667,0.999566779,8.826944716,"DOWN","UP"
"MUSNIGG00028933",46.20139262,-2.692875622,0.65910342,-4.085664772,4.4e-05,0.022317612,"MUSNIGT00034808","KCNB2",NA,NA,"potassium voltage-gated channel subfamily B member 2 [Source:HGNC Symbol;Acc:HGNC:6232]",-6.466009479,46.20139262,2.878563582,1.020252472,2.821422796,0.004781114,0.759475514,7.35417538,"DOWN","UP"
"MUSNIGG00011656",5.345501762,-2.682770884,1.192876912,-2.248992211,0.024512992,0.270365513,"MUSNIGT00014290","LAMB2","ENSMPUG00000013872","laminin subunit beta 2 [Source:NCBI gene;Acc:101685630]","laminin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6487]",-6.420879322,5.345501762,4.925914573,1.943890385,2.53404956,0.011275278,0.859062739,30.39821222,"DOWN","UP"
"MUSNIGG00035172",36.70878492,-2.648662476,0.756785551,-3.499885105,0.000465459,0.053994158,"MUSNIGT00042278","KIF14","ENSMPUG00000010474","kinesin family member 14 [Source:NCBI gene;Acc:101684147]","kinesin family member 14 [Source:HGNC Symbol;Acc:HGNC:19181]",-6.27085637,36.70878492,2.606940724,1.160212031,2.246951983,0.024643096,0.999566779,6.092104646,"DOWN","UP"
"MUSNIGG00008167",17.27542154,-2.624850648,1.093810729,-2.399730207,0.01640716,0.236416612,"MUSNIGT00009964","ZNF821","ENSMPUG00000007877","zinc finger protein 821 [Source:HGNC Symbol;Acc:HGNC:28043]","zinc finger protein 821 [Source:HGNC Symbol;Acc:HGNC:28043]",-6.168204716,17.27542154,3.546065503,1.660991907,2.134908357,0.032768497,0.999566779,11.68078642,"DOWN","UP"
"MUSNIGG00025119",35.22413806,-2.621715854,0.905785448,-2.89441154,0.003798699,0.126927052,"MUSNIGT00030462","OR1L4",NA,NA,"olfactory receptor family 1 subfamily L member 4 [Source:HGNC Symbol;Acc:HGNC:8216]",-6.15481654,35.22413806,3.220251961,1.379892625,2.333697494,0.019611567,0.999566779,9.319496161,"DOWN","UP"
"MUSNIGG00031531",7.226359874,-2.618042505,1.255932268,-2.084541159,0.03711097,0.310684613,"MUSNIGT00037912","KDM4D","ENSMPUG00000012267","lysine demethylase 4D [Source:HGNC Symbol;Acc:HGNC:25498]","lysine demethylase 4D [Source:HGNC Symbol;Acc:HGNC:25498]",-6.139165256,7.226359874,3.773905281,1.921490689,1.964050776,0.049524204,0.999566779,13.67913672,"DOWN","UP"
"MUSNIGG00010426",60.25380875,-2.589983802,0.713385579,-3.630552508,0.000282815,0.043195499,"MUSNIGT00012755","TENM3","ENSMPUG00000010987","teneurin transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:29944]","teneurin transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:29944]",-6.020919389,60.25380875,3.260788444,1.101225845,2.96105332,0.003065889,0.622147595,9.58506652,"DOWN","UP"
"MUSNIGG00022914",12.89478774,-2.54424772,1.215440555,-2.093272032,0.036324878,0.30636889,"MUSNIGT00027860","SALL2","ENSMPUG00000000199","spalt like transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:10526]","spalt like transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:10526]",-5.833039001,12.89478774,4.325161434,1.869584392,2.313434715,0.02069875,0.999566779,20.04487386,"DOWN","UP"
"MUSNIGG00038848",28.25158391,-2.521700163,0.816929224,-3.086803714,0.002023211,0.097492311,"MUSNIGT00046808","AFF3","ENSMPUG00000012091","AF4/FMR2 family member 3 [Source:HGNC Symbol;Acc:HGNC:6473]","AF4/FMR2 family member 3 [Source:HGNC Symbol;Acc:HGNC:6473]",-5.742584431,28.25158391,3.022153848,1.254011472,2.409988996,0.015953002,0.999566779,8.123795077,"DOWN","UP"
"MUSNIGG00032744",33.74558798,-2.473377048,0.79356669,-3.116785369,0.001828346,0.093611331,"MUSNIGT00039368","FSTL5",NA,NA,"follistatin like 5 [Source:HGNC Symbol;Acc:HGNC:21386]",-5.553422071,33.74558798,2.5500757,1.213847853,2.100819879,0.035656781,0.999566779,5.856650082,"DOWN","UP"
"MUSNIGG00009634",106.4465345,-2.414074385,0.887190698,-2.721032119,0.006507844,0.154410499,"MUSNIGT00011790","EVI2B","ENSMPUG00000019512","ecotropic viral integration site 2B [Source:HGNC Symbol;Acc:HGNC:3500]","ecotropic viral integration site 2B [Source:HGNC Symbol;Acc:HGNC:3500]",-5.329774094,106.4465345,2.812245447,1.319568735,2.131185267,0.033073882,0.999566779,7.023769239,"DOWN","UP"
"MUSNIGG00026055",12.69253423,-2.384332973,1.046516553,-2.278351896,0.02270562,0.267127672,"MUSNIGT00031440","IFT172",NA,NA,"intraflagellar transport 172 [Source:HGNC Symbol;Acc:HGNC:30391]",-5.221024662,12.69253423,3.790559755,1.612464072,2.35078711,0.018733749,0.999566779,13.83796369,"DOWN","UP"
"MUSNIGG00004190",11.30300589,-2.370054629,0.837974155,-2.82831471,0.004679378,0.139674313,"MUSNIGT00005137","GREB1L","ENSMPUG00000005516","GREB1 like retinoic acid receptor coactivator [Source:HGNC Symbol;Acc:HGNC:31042]","GREB1 like retinoic acid receptor coactivator [Source:HGNC Symbol;Acc:HGNC:31042]",-5.169607071,11.30300589,2.664277339,1.289196441,2.066618595,0.038770107,0.999566779,6.339096977,"DOWN","UP"
